province_n,district_n,sector_nam,cell_name,mean,median,sum
Amajyaruguru,Burera,Rwerere,Gashoro,0.0,0.0,0.0
Amajyaruguru,Burera,Rwerere,Ruconsho,0.0,0.0,0.0
Amajyaruguru,Burera,Rwerere,Rugari,0.025623045316556604,0.0,1.0505448579788208
Amajyaruguru,Gakenke,Busengo,Birambo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Busengo,Butereri,0.0,0.0,0.0
Amajyaruguru,Gakenke,Busengo,Byibuhiro,0.0,0.0,0.0
Amajyaruguru,Gakenke,Busengo,Kamina,0.0,0.0,0.0
Amajyaruguru,Gakenke,Busengo,Kirabo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Busengo,Mwumba,0.0,0.0,0.0
Amajyaruguru,Gakenke,Busengo,Ruhanga,0.0,0.0,0.0
Amajyaruguru,Gakenke,Coko,Kiruku,0.0,0.0,0.0
Amajyaruguru,Gakenke,Coko,Mbirima,0.0,0.0,0.0
Amajyaruguru,Gakenke,Coko,Nyange,0.0,0.0,0.0
Amajyaruguru,Gakenke,Coko,Nyanza,0.0,0.0,0.0
Amajyaruguru,Gakenke,Cyabingo,Muhaza,0.3481534719467163,0.22188441455364227,8.355683326721191
Amajyaruguru,Gakenke,Cyabingo,Muhororo,0.47383458990799754,0.5158389806747437,9.002857208251953
Amajyaruguru,Gakenke,Cyabingo,Muramba,0.06868647038936615,0.0,1.0989835262298584
Amajyaruguru,Gakenke,Cyabingo,Mutanda,0.0,0.0,0.0
Amajyaruguru,Gakenke,Cyabingo,Rukore,0.0,0.0,0.0
Amajyaruguru,Gakenke,Gakenke,Buheta,0.21659893459743923,0.0,9.746952056884766
Amajyaruguru,Gakenke,Gakenke,Kagoma,0.008613580259783515,0.0,0.49958765506744385
Amajyaruguru,Gakenke,Gakenke,Nganzo,0.02643885979285607,0.0,1.3748207092285156
Amajyaruguru,Gakenke,Gakenke,Rusagara,0.8520499828249909,0.8029176592826843,36.63814926147461
Amajyaruguru,Gakenke,Gashenyi,Nyacyina,0.3460588260572784,0.0,16.95688247680664
Amajyaruguru,Gakenke,Gashenyi,Rukura,0.09971231029879662,0.0,3.0910816192626953
Amajyaruguru,Gakenke,Gashenyi,Rutabo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Gashenyi,Rutenderi,0.35317230224609375,0.0,10.595169067382812
Amajyaruguru,Gakenke,Gashenyi,Taba,0.741086873141202,0.7077778577804565,32.60782241821289
Amajyaruguru,Gakenke,Janja,Gakindo,0.01755058765411377,0.0,0.6142705678939819
Amajyaruguru,Gakenke,Janja,Gashyamba,0.014060436747968197,0.0,0.4499339759349823
Amajyaruguru,Gakenke,Janja,Gatwa,0.06040720281929805,0.0,1.7518088817596436
Amajyaruguru,Gakenke,Janja,Karukungu,0.0,0.0,0.0
Amajyaruguru,Gakenke,Kamubuga,Kamubuga,0.0,0.0,0.0
Amajyaruguru,Gakenke,Kamubuga,Kidomo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Kamubuga,Mbatabata,0.0,0.0,0.0
Amajyaruguru,Gakenke,Kamubuga,Rukore,0.0,0.0,0.0
Amajyaruguru,Gakenke,Karambo,Kanyanza,0.37100416614163306,0.0,11.501129150390625
Amajyaruguru,Gakenke,Karambo,Karambo,0.0,0.0,0.0
